iteration: 147, mu=1000000, J_total_sum2=49.1539522106556
iteration: 148, mu=1000000, J_total_sum2=49.11820353408618
iteration: 149, mu=1000000, J_total_sum2=49.08316762232799
iteration: 150, mu=1000000, J_total_sum2=49.04776975695036
iteration: 151, mu=1000000, J_total_sum2=49.0130407946997
iteration: 152, mu=1000000, J_total_sum2=48.97791750804994
iteration: 153, mu=1000000, J_total_sum2=48.94343445891944
iteration: 154, mu=1000000, J_total_sum2=48.90853151314
iteration: 155, mu=1000000, J_total_sum2=48.87425045221458
iteration: 156, mu=1000000, J_total_sum2=48.83953187723826
iteration: 157, mu=1000000, J_total_sum2=48.80542201088995
iteration: 158, mu=1000000, J_total_sum2=48.77086704791655
iteration: 159, mu=1000000, J_total_sum2=48.73690955915492
iteration: 160, mu=1000000, J_total_sum2=48.70250969541893
iteration: 161, mu=1000000, J_total_sum2=48.66869780597175
iteration: 162, mu=1000000, J_total_sum2=48.63445412201717
iteration: 163, mu=1000000, J_total_sum2=48.60079308554491
iteration: 164, mu=1000000, J_total_sum2=48.56671380930641
iteration: 165, mu=1000000, J_total_sum2=48.53322104677441
iteration: 166, mu=1000000, J_total_sum2=48.49931656065821
iteration: 167, mu=1000000, J_total_sum2=48.46601825396504
iteration: 168, mu=1000000, J_total_sum2=48.43229287697546
iteration: 169, mu=1000000, J_total_sum2=48.39920705857622
iteration: 170, mu=1000000, J_total_sum2=48.36566460176665
iteration: 171, mu=1000000, J_total_sum2=48.33279578693261
iteration: 172, mu=1000000, J_total_sum2=48.29944569251668
iteration: 173, mu=1000000, J_total_sum2=48.26679911076063
iteration: 174, mu=1000000, J_total_sum2=48.23365293510322
iteration: 175, mu=1000000, J_total_sum2=48.20123686547305
iteration: 176, mu=1000000, J_total_sum2=48.16831013002936
iteration: 177, mu=1000000, J_total_sum2=48.13614382267085
iteration: 178, mu=1000000, J_total_sum2=48.10347033985295
iteration: 179, mu=1000000, J_total_sum2=48.07160490170771
iteration: 180, mu=1000000, J_total_sum2=48.03916163078812
