======================================================
SEEING RESULTS FOR JORDAN'S REWRITE USING WIKIPEDIA LOGIC

iteration2: 1, mu=0.0001, R_average=504, R_average2=504

iteration2: 235, mu=10, R_average=5.74223, R_average2=5.73432

iteration2: 236, mu=10, R_average=5.73432, R_average2=5.72765

iteration2: 237, mu=10, R_average=5.72765, R_average2=5.722

iteration2: 238, mu=10, R_average=5.722, R_average2=5.7172

iteration2: 239, mu=10, R_average=5.7172, R_average2=5.71312

iteration2: 240, mu=10, R_average=5.71312, R_average2=5.70962

iteration2: 241, mu=10, R_average=5.70962, R_average2=5.70663

iteration2: 242, mu=10, R_average=5.70663, R_average2=5.70405

iteration2: 243, mu=10, R_average=5.70405, R_average2=5.70183

iteration2: 244, mu=10, R_average=5.70183, R_average2=5.69991

iteration2: 245, mu=10, R_average=5.69991, R_average2=5.69825

iteration2: 246, mu=10, R_average=5.69825, R_average2=5.6968

iteration2: 247, mu=10, R_average=5.6968, R_average2=5.69555

iteration2: 248, mu=10, R_average=5.69555, R_average2=5.69445

iteration2: 249, mu=10, R_average=5.69445, R_average2=5.69349

iteration2: 250, mu=10, R_average=5.69349, R_average2=5.69265

iteration2: 251, mu=10, R_average=5.69265, R_average2=5.69191

iteration2: 252, mu=10, R_average=5.69191, R_average2=5.69126

iteration2: 253, mu=10, R_average=5.69126, R_average2=5.69069

iteration2: 254, mu=10, R_average=5.69069, R_average2=5.69019

iteration2: 255, mu=10, R_average=5.69019, R_average2=5.68974

iteration2: 256, mu=10, R_average=5.68974, R_average2=5.68934

iteration2: 257, mu=10, R_average=5.68934, R_average2=5.68899

iteration2: 258, mu=10, R_average=5.68899, R_average2=5.68868

iteration2: 259, mu=10, R_average=5.68868, R_average2=5.6884

iteration2: 260, mu=10, R_average=5.6884, R_average2=5.68815

iteration2: 261, mu=10, R_average=5.68815, R_average2=5.68792

iteration2: 262, mu=10, R_average=5.68792, R_average2=5.68772

iteration2: 263, mu=10, R_average=5.68772, R_average2=5.68754

iteration2: 264, mu=10, R_average=5.68754, R_average2=5.68737

iteration2: 265, mu=10, R_average=5.68737, R_average2=5.68722

iteration2: 266, mu=10, R_average=5.68722, R_average2=5.68708

iteration2: 267, mu=10, R_average=5.68708, R_average2=5.68695

iteration2: 268, mu=10, R_average=5.68695, R_average2=5.68684

iteration2: 269, mu=10, R_average=5.68684, R_average2=5.68673

iteration2: 270, mu=10, R_average=5.68673, R_average2=5.68663

iteration2: 271, mu=10, R_average=5.68663, R_average2=5.68654

iteration2: 272, mu=10, R_average=5.68654, R_average2=5.68645

iteration2: 273, mu=10, R_average=5.68645, R_average2=5.68637

iteration2: 274, mu=10, R_average=5.68637, R_average2=5.68629

iteration2: 275, mu=10, R_average=5.68629, R_average2=5.68622

iteration2: 276, mu=10, R_average=5.68622, R_average2=5.68615

iteration2: 277, mu=10, R_average=5.68615, R_average2=5.68608

iteration2: 278, mu=10, R_average=5.68608, R_average2=5.68602

iteration2: 279, mu=10, R_average=5.68602, R_average2=5.68596

iteration2: 280, mu=10, R_average=5.68596, R_average2=5.6859

iteration2: 281, mu=10, R_average=5.6859, R_average2=5.68585

iteration2: 282, mu=10, R_average=5.68585, R_average2=5.68579

iteration2: 283, mu=10, R_average=5.68579, R_average2=5.68574

iteration2: 284, mu=10, R_average=5.68574, R_average2=5.68568

iteration2: 285, mu=10, R_average=5.68568, R_average2=5.68563

iteration2: 286, mu=10, R_average=5.68563, R_average2=5.68558

iteration2: 287, mu=10, R_average=5.68558, R_average2=5.68553

iteration2: 288, mu=10, R_average=5.68553, R_average2=5.68549

iteration2: 289, mu=10, R_average=5.68549, R_average2=5.68544

iteration2: 290, mu=10, R_average=5.68544, R_average2=5.68539

iteration2: 291, mu=10, R_average=5.68539, R_average2=5.68534

iteration2: 292, mu=10, R_average=5.68534, R_average2=5.6853

iteration2: 293, mu=10, R_average=5.6853, R_average2=5.68525

iteration2: 294, mu=10, R_average=5.68525, R_average2=5.68521

iteration2: 295, mu=10, R_average=5.68521, R_average2=5.68516

iteration2: 296, mu=10, R_average=5.68516, R_average2=5.68512

iteration2: 297, mu=10, R_average=5.68512, R_average2=5.68507

iteration2: 298, mu=10, R_average=5.68507, R_average2=5.68503

iteration2: 299, mu=10, R_average=5.68503, R_average2=5.68498

iteration2: 300, mu=10, R_average=5.68498, R_average2=5.68494

iteration2: 301, mu=10, R_average=5.68494, R_average2=5.6849

iteration2: 302, mu=10, R_average=5.6849, R_average2=5.68485

