======================================================
SEEING RESULTS FOR JORDAN'S REWRITE USING SAME RSS LOGIC

iteration2: 1, mu=0.0001, R_average=504, R_average2=504
iteration2: 204, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 205, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 206, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 207, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 208, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 209, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 210, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 211, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 212, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 213, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 214, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 215, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 216, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 217, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 218, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 219, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 220, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 221, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 222, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 223, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 224, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 225, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 226, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 227, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 228, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 229, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 230, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 231, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 232, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 233, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 234, mu=1000, R_average=2.68685, R_average2=2.68684

iteration2: 235, mu=1000, R_average=2.68684, R_average2=2.68684

iteration2: 236, mu=1000, R_average=2.68684, R_average2=2.68684

iteration2: 237, mu=1000, R_average=2.68684, R_average2=2.68684

iteration2: 238, mu=1000, R_average=2.68684, R_average2=2.68684

iteration2: 239, mu=1000, R_average=2.68684, R_average2=2.68684

iteration2: 240, mu=1000, R_average=2.68684, R_average2=2.68684

iteration2: 241, mu=1000, R_average=2.68684, R_average2=2.68684

iteration2: 242, mu=1000, R_average=2.68684, R_average2=2.68684

iteration2: 243, mu=1000, R_average=2.68684, R_average2=2.68684

iteration2: 244, mu=1000, R_average=2.68684, R_average2=2.68684

iteration2: 245, mu=1000, R_average=2.68684, R_average2=2.68684

iteration2: 246, mu=1000, R_average=2.68684, R_average2=2.68684

iteration2: 247, mu=1000, R_average=2.68684, R_average2=2.68684

iteration2: 248, mu=1000, R_average=2.68684, R_average2=2.68684

iteration2: 249, mu=1000, R_average=2.68684, R_average2=2.68684

iteration2: 250, mu=1000, R_average=2.68684, R_average2=2.68684

iteration2: 251, mu=1000, R_average=2.68684, R_average2=2.68684

iteration2: 252, mu=1000, R_average=2.68684, R_average2=2.68684

iteration2: 253, mu=1000, R_average=2.68684, R_average2=2.68684

iteration2: 254, mu=1000, R_average=2.68684, R_average2=2.68684

iteration2: 255, mu=1000, R_average=2.68684, R_average2=2.68684

iteration2: 256, mu=1000, R_average=2.68684, R_average2=2.68684

iteration2: 257, mu=1000, R_average=2.68684, R_average2=2.68684

iteration2: 258, mu=1000, R_average=2.68684, R_average2=2.68684

iteration2: 259, mu=1000, R_average=2.68684, R_average2=2.68684

iteration2: 260, mu=1000, R_average=2.68684, R_average2=2.68684

iteration2: 261, mu=1000, R_average=2.68684, R_average2=2.68684

iteration2: 262, mu=1000, R_average=2.68684, R_average2=2.68684

iteration2: 263, mu=1000, R_average=2.68684, R_average2=2.68684

iteration2: 264, mu=1000, R_average=2.68684, R_average2=2.68684

iteration2: 265, mu=1000, R_average=2.68684, R_average2=2.68684

iteration2: 266, mu=1000, R_average=2.68684, R_average2=2.68684

iteration2: 267, mu=1000, R_average=2.68684, R_average2=2.68684

iteration2: 268, mu=1000, R_average=2.68684, R_average2=2.68684

iteration2: 269, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 270, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 271, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 272, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 273, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 274, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 275, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 276, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 277, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 278, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 279, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 280, mu=10000, R_average=2.68684, R_average2=2.68684

